title,grade,introduction,image_url,url,student
初识HTML+CSS,入门,HTML+CSS基础教程8小时带领大家步步深入学习标签用法和意义,http://img4.mukewang.com/529dc3380001379906000338-240-135.jpg,,1036090
Java入门第一季,入门,本教程从Java环境搭建、工具使用、基础语法开始，带你入门,http://img4.mukewang.com/57035ff200014b8a06000338-240-135.jpg,,978710
C语言入门,入门,C语言入门视频教程，带你进入编程世界的必修课-C语言,http://img2.mukewang.com/574669dc0001993606000338-240-135.jpg,,731343
JavaScript入门篇,入门,JavaScript做为一名Web工程师的必备技术，本教程让您快速入门,http://img1.mukewang.com/53e1d0470001ad1e06000338-240-135.jpg,,647881
初识Python,入门,学python入门视频教程，让你快速入门并能编写简单的Python程序,http://img4.mukewang.com/540e57300001d6d906000338-240-135.jpg,,643018
PS入门教程——新手过招,入门,慕课网推出的PS入门教程，PS入门学习必备课程，带你轻松入门,http://img.mukewang.com/53a28e960001311b06000338-240-135.jpg,,568470
5G时代Vlog原型系统开发,入门,Vlog创造了一大批“网红”，来学Vlog系统开发，做第一批吃螃蟹的人！,http://img3.mukewang.com/5ce7bdd9088df7dc06000338-240-135.jpg,,304
Python数据预处理（一）一抽取多源数据文本信息,初级,Python数据预处理---人工智能通用技术,http://img4.mukewang.com/5cb92c1d0825117c06000338-240-135.jpg,,839
MyBatis-Plus入门,高级,MyBatis-Plus框架入门必学课程！,http://img3.mukewang.com/5ce2698608207d4006000338-240-135.jpg,,2235
玩转Vim  从放弃到爱不释手,中级,作为程序员你还不知道编辑器之神 Vim 吗，带你从零开始学习 vim 编辑器。,http://img.mukewang.com/5cda5fbf086ed10406000338-240-135.jpg,,3537
使用ViewPager实现卡片式问答项目（下）,入门,本门课程将带大家利用ViewPager等技术实现卡片式问答项目下半部分的学习,http://img2.mukewang.com/5cb831fd0949d9f300000000-240-135.jpg,,635
破解Retrofit,中级,带你深度剖析网络请求框架Retrofit,http://img.mukewang.com/5cd4eb0d08845c7606000338-240-135.jpg,,988
轻松入门微信小程序与云开发,初级,深入浅出微信小程序核心基础与云开发，使你掌握小程序开发必备技能。,http://img3.mukewang.com/5cce8be1088dd62806000338-240-135.jpg,,8758
使用ViewPager实现卡片式问答项目（上）,中级,本门课程将带大家利用ViewPager等技术实现卡片式问答项目上半部分的学习,http://img2.mukewang.com/5cb831fd0949d9f306000338-240-135.jpg,,1755
C4D三维字体设计,初级,手把手带你实现炫酷的三维字体制作,http://img4.mukewang.com/5cbe757b090f061210800600-240-135.jpg,,1466
解锁网络编程之NIO的前世今生,入门,解锁网络编程的“乾坤大挪移”-NIO。,http://img.mukewang.com/5cb6ec65083b996306000338-240-135.jpg,,4755
ViewPager+Tab特效实现微信主界面,初级,综合利用ViewPager、Tab等诸多核心技术实现微信主界面的框架搭建任务,http://img2.mukewang.com/5cb0320d084566ed06000338-240-135.jpg,,2683
PHP+Mysql+Ajax实现分页,中级,本课程从前端到后端系统的讲解了分页功能的开发,http://img1.mukewang.com/5cb44aad0923606a06000338-240-135.jpg,,2650
Tomcat服务配置与性能优化,入门,Tomcat安装、配置与性能优化！,http://img.mukewang.com/5cac01660812109906000338-240-135.jpg,,9666
Jenkins+K8s实现持续集成,入门,手把手教你使用jenkins+k8s实现持续集成,http://img1.mukewang.com/5c60f2e80984689c00000000-240-135.jpg,,5305
《MAYA-98k次时代建模》-下,初级,Maya道具98k次世代模型制作,http://img4.mukewang.com/5ca328b408ad098006000338-240-135.jpg,,1085
MAYA-绑定基础,入门,从mod环节到tex环节要经过的步骤,http://img2.mukewang.com/5ca327b309a90af005400300-240-135.jpg,,126
JDK11&12 新特性解读,初级,JDK11、12 新特性的介绍及代码演示,http://img.mukewang.com/5c983dd108ae1f5a06000338-240-135.jpg,,5141
Grid布局基础,中级,Grid二维网格布局系统，跟随时代潮流，掌握新一代的布局方案。,http://img.mukewang.com/5c98c090094329d806000338-240-135.jpg,,6102
PHP开发APP接口,中级,本课程介绍了如何通过PHP面向对象的思想构建一个模块化的APP后台,http://img2.mukewang.com/5c8a21630876c61d00000000-240-135.jpg,,5984
三小时带你入门Django框架 新版上架,初级,Python开发上手Web框架的必备课程，三小时带你入门Django框架。,http://img3.mukewang.com/5c9ca57a08e95df306000338-240-135.jpg,,6199
慕课音乐（二）,中级,高仿网易云音乐，从零开始开发一款专属自己的音乐APP。,http://img3.mukewang.com/5c8f609008b3945b06000338-240-135.jpg,,3579
Spring框架小白的蜕变,初级,Spring Ioc和Spring Bean基础内容的讲解,http://img4.mukewang.com/5c8b7771088cc7b506000338-240-135.jpg,,13821
VSCode入门,入门,学习前端开发工具VSCode的基本使用方法。,http://img3.mukewang.com/5c8710e108a530b606000338-240-135.jpg,,13921
慕课音乐（一）,中级,高仿网易云音乐，从零开始开发一款专属自己的音乐APP。,http://img1.mukewang.com/5c80b987089d92ab06000338-240-135.jpg,,6092
《MAYA-98k次时代建模》-上,初级,Maya道具98k次世代模型制作,http://img1.mukewang.com/5c7c876c08f3bef306000338-240-135.jpg,,1468
APP UI 动效入门案例,入门,手把手带你实操动效案例,http://img2.mukewang.com/5c77ae6409ebb16300000000-240-135.jpg,,5991
玩转MySQL8.0新特性,入门,技术要与时俱进，探秘MySQL8.0新特性,http://img.mukewang.com/5c760767084b92ce06000338-240-135.jpg,,10292
HBase高可用及多租户环境应用,中级,通过对Hbase添加权限控制、用户配额、资源隔离，实现Hbase多租户环境。,http://img2.mukewang.com/5c737d3d08d5026e06000338-240-135.jpg,,1820
3小时极简春节抢红包之Go的实战,入门,【毕业设计】春节抢红包业务资金交易秒杀系统的架构设计和Golang实战,http://img4.mukewang.com/5c6b7cff08d6895906000338-240-135.jpg,,5876
Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效-下,入门,Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效,http://img2.mukewang.com/5c611772085966af06000338-240-135.jpg,,2034
学习软件测试的进阶之路,初级,一门课让你学懂软件测试之路如何发展,http://img2.mukewang.com/5c60f2e80984689c05400300-240-135.jpg,,11250
Android中的Http通信,初级,本次课程将带领大家掌握Android中的Http基础及对okhttp的封装使用。,http://img4.mukewang.com/5c482149087885ea06000338-240-135.jpg,,5374
2小时实战Apache顶级项目-RPC框架Dubbo分布式服务调度,初级,快速入门并实战分布式任务调度框架Dubbo,http://img1.mukewang.com/5c4af7ee082ba26906000338-240-135.jpg,,10669
node.js调试入门,入门,理论实践相结合学习使用 Inspector 调试 Node.js。,http://img4.mukewang.com/5c3eaa0a08d7052706000338-240-135.jpg,,11036
Go语言框架：Beego vs Gin,初级,从宏观和微观两个角度，比较Beego框架和Gin框架的优缺点，以及如何选择,http://img1.mukewang.com/5c3dac780805ac3606000338-240-135.jpg,,5193
逻辑回归原理与应用,中级,深入浅出分析推导逻辑回归数学原理，并用python完成模型解决问题,http://img2.mukewang.com/5c242beb08e0cbd406000338-240-135.jpg,,3791
PWA入门,入门,教你入门现代化完美体验的web前端应用。,http://img1.mukewang.com/5c32b1ca0820a49f06000338-240-135.jpg,,6080
Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效 -上,入门,Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效,http://img2.mukewang.com/5c10a9310001c36206000338-240-135.jpg,,2680
3小时速成 Vue2.x 核心技术,中级,带你快速学习最流行的前端框架vue2.x的核心技术,http://img1.mukewang.com/5c21e60d0822d58e06000338-240-135.jpg,,36142
Flutter入门与案例实战,入门,带你入门Flutter，并完成属于自己的第一个Flutter小案例。,http://img1.mukewang.com/5c18cf540001ac8206000338-240-135.jpg,,13953
Java高并发之魂：synchronized深度解析,初级,从0开始彻底学会高并发场景下不得不会的synchronized,http://img2.mukewang.com/5c19b3060001e4fd06000338-240-135.jpg,,19089
Redis5.0之12项新特性,初级,解剖 Redis5.0 的12项新特性。,http://img3.mukewang.com/5c176d7800018a3106000338-240-135.jpg,,4351
角色动画,初级,从0到1结合案例，分析角色动画实现原理，并制作完整的角色动画案例,http://img1.mukewang.com/5c17445b0001fd8d05400300-240-135.jpg,,9094
全面掌握Django ORM,中级,全面掌握Django ORM，以Django官方文档为依据，准确、权威。,http://img.mukewang.com/5c0f95640001d03c06000338-240-135.jpg,,5062
PHP7的基本变量,入门,学习PHP7基本变量，掌握PHP7的新特性,http://img1.mukewang.com/5c0f28c00001e54606000338-240-135.jpg,,6335
Taro多端框架开发外卖首页,中级,Taro 一套代码多端运行的框架，带你掌握Taro开发基本语法，以及项目开发,http://img2.mukewang.com/5c0a36790001b17606000338-240-135.jpg,,14084
SpringBoot构建电商基础秒杀项目,中级,应用SpringBoot快速搭建拥有用户、商品、交易及秒杀活动的电商秒杀应用。,http://img.mukewang.com/5bfe54bd000131e306000338-240-135.jpg,,21406
2018 AWS技术峰会  无服务器架构分论坛,高级,您将了解到如何通过在AWS上构建无服务器应用程序及无服务器架构的特征。,http://img2.mukewang.com/5c05ef640001f63b06000338-240-135.jpg,,1799
C4D建模实例,初级,"结合基础知识,从建模到材质渲染,带你完整的完成一个建模作品",http://img2.mukewang.com/5c049c480001e24e06000338-240-135.jpg,,3152
探索MG动画的神奇世界,入门,结合案例带你探索MG动画的神奇世界,http://img.mukewang.com/5bfdf4930001d44006000338-240-135.jpg,,3189
Kingshard数据库中间件理论与实践,初级,学会Kingshard数据库中间件理论以及Kingshard数据库的安装和使用。,http://img2.mukewang.com/5bfcacf30001819206000338-240-135.jpg,,1557
Python 高性能 Web 框架 Tornado入门,中级,Tornado 入门以及如何用 Tornado 构建RESTful应用。,http://img1.mukewang.com/5c04d29100018b2507400455-240-135.jpg,,7916
MAYA-绑定基础,入门,教程主要是关于maya绑定基础的约束篇讲解,http://img.mukewang.com/5bf4c6940001df6c05400300-240-135.jpg,,935
MBE风格图标设计,初级,带你轻松读懂图标学会MBE风格图标设计,http://img2.mukewang.com/5bf2a2530001736a06000338-240-135.jpg,,4729
React高级教程之高阶组件,高级,运用高阶组件编写高质量React应用,http://img.mukewang.com/5becd2990001215b06000338-240-135.jpg,,7231
MUI+个推实现安卓与ios移动端推送,初级,结合慕信轻聊Netty实战，整合个推到前端与后端，实现安卓与ios移动端推送,http://img3.mukewang.com/5bebce6b0001bd6106000336-240-135.jpg,,4774
2018 AWS技术峰会  自动化运维、微服务及容器技术分论坛,高级,什么是 DevOps，DevOps 如何诞生。,http://img3.mukewang.com/5be8f5a40001482306000338-240-135.jpg,,2195
基于LNMP的测试工具环境部署,初级,完成LNMP环境的搭建，为你部署常见的测试管理工具所需环境奠定基石。,http://img2.mukewang.com/5be01b1f000121dd05400300-240-135.jpg,,4558
Sqoop入门实践,入门,快速入门Sqoop从安装到定时增量同步的基本操作,http://img1.mukewang.com/5b8cf6cf00011ca906000338-240-135.jpg,,3996
深度学习之神经网络入门最佳路径,初级,深度学习之神经网络入门与Tensorflow基础实操,http://img3.mukewang.com/5bd8157a0001a7a506000336-240-135.jpg,,11419
自然语言处理（NLP）入门与实践,初级,一步步教你轻松学习自然语言处理基础与实践。,http://img2.mukewang.com/5bd8219400016e5e06000336-240-135.jpg,,7009
社交类app设计入门,初级,结合案例带你详细透析社区产品交互设计,http://img3.mukewang.com/5bd7f8f70001dfd806000336-240-135.jpg,,9442
